       N       P       S
       4       2       1
       8       4       3
      16       6      10
      32      11      25
      64      18      61
     128      31     137
     256      54     307
     512      97     673
    1024     172    1450
    2048     309    3086
    4096     564    6531
    8192    1028   13735
   16384    1900   28733
   32768    3512   59771
   65536    6542  123951
  131072   12251  256223
  262144   23000  528178
  524288   43390 1086134
 1048576   82025 2228882
